test	pval
Acinonyx_jubatus	NA
Ailuropoda_melanoleuca	NA
Callorhinus_ursinus	NA
Canis_lupus	NA
Enhydra_lutris	NA
Eumetopias_jubatus	NA
Felis_catus	NA
Halichoerus_grypus	NA
Hyaena_hyaena	NA
Leopardus_geoffroyi	NA
Leptonychotes_weddellii	0.00368
Lontra_canadensis	NA
Lutra_lutra	NA
Lynx_canadensis	NA
Lynx_rufus	NA
Meles_meles	NA
Mirounga_angustirostris	NA
Mirounga_leonina	NA
Mustela_erminea	NA
Mustela_putorius	NA
Neofelis_nebulosa	NA
Neogale_vison	NA
Neomonachus_schauinslandi	NA
Nyctereutes_procyonoides	NA
Odobenus_rosmarus	NA
Panthera_leo	NA
Panthera_pardus	NA
Panthera_tigris	NA
Panthera_uncia	NA
Phoca_vitulina	NA
Prionailurus_bengalensis	NA
Prionailurus_viverrinus	NA
Puma_concolor	NA
Puma_yagouaroundi	NA
Suricata_suricatta	NA
Ursus_americanus	NA
Ursus_arctos	NA
Ursus_maritimus	NA
Ursus_thibetanus	NA
Vulpes_lagopus	NA
Vulpes_vulpes	NA
Zalophus_californianus	NA
