test	back	pval	kval	Inference
Acanthisitta_chloris	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Camarhynchus_parvulus	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Chloebia_gouldiae	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Coloeus_monedula	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0001	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Corvus_brachyrhynchos	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Corvus_moneduloides	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0002	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Ficedula_albicollis	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Geospiza_fortis	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Lonchura_striata	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.00	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
Malurus_cyaneus	`Leptosomus_discolor,Colius_striatus,Node2,Tyto_alba,Node1,Haliaeetus_leucocephalus,Aquila_chrysaetos,Node6,Falco_peregrinus,Falco_tinnunculus,Node11,Node9`	0.0000	0.06	Evidence_for_*relaxation_of_selection*_among_**test**_branches__relative__to_the_**reference**_branches_at_P<=0.05
