test	pval
Aeorestes_cinereus	NA
Artibeus_jamaicensis	NA
Desmodus_rotundus	NA
Hipposideros_armiger	NA
Megaderma_lyra	NA
Miniopterus_natalensis	NA
Molossus_molossus	0.00246
Myotis_brandtii	NA
Myotis_davidii	NA
Myotis_lucifugus	NA
Myotis_myotis	NA
Phyllostomus_discolor	NA
Phyllostomus_hastatus	NA
Pipistrellus_kuhlii	NA
Pipistrellus_pipistrellus	NA
Pteronotus_parnellii	0.00789
Pteropus_alecto	NA
Pteropus_giganteus	NA
Pteropus_vampyrus	NA
Rhinolophus_ferrumequinum	NA
Rousettus_aegyptiacus	NA
Sturnira_hondurensis	NA
