test	back	pval	kval
Aotus_nancymaae	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.0195	16.27
Callithrix_jacchus	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.4004	1.40
Carlito_syrichta	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Node11`	0.0076	0.31
Cebus_capucinus	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.5613	1.52
Cercocebus_atys	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.8738	0.77
Chlorocebus_sabaeus	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`		50.00
Colobus_angolensis	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.7113	1.61
Gorilla_gorilla	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.5908	23.54
Homo_sapiens	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Hylobates_moloch,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.1650	0.00
Hylobates_moloch	`Nycticebus_coucang,Otolemur_garnettii,Node1,Propithecus_coquereli,Microcebus_murinus,Node5,Prolemur_simus,Lemur_catta,Node8,Node4,Aotus_nancymaae,Callithrix_jacchus,Node14,Cebus_capucinus,Sapajus_apella,Node18,Saimiri_boliviensis,Node17,Node13,Symphalangus_syndactylus,Node25,Nomascus_leucogenys,Node24,Gorilla_gorilla,Homo_sapiens,Pan_paniscus,Pan_troglodytes,Node34,Node32,Node30,Pongo_pygmaeus,Pongo_abelii,Node37,Node29,Node23,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Node45,Mandrillus_leucophaeus,Cercocebus_atys,Node48,Node44,Macaca_thibetana,Macaca_mulatta,Macaca_fascicularis,Node54,Node52,Macaca_nemestrina,Node51,Node43,Node41,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Node61,Node59,Piliocolobus_tephrosceles,Colobus_angolensis,Node64,Node58,Node40,Node22,Node12,Carlito_syrichta,Node11`	0.1225	0.00
