test	pval
Ahaetulla_prasina	NA
Anolis_carolinensis	0.01865
Aspidoscelis_marmoratus	NA
Bothrops_jararaca	NA
Crotalus_tigris	NA
Eublepharis_macularius	NA
Euleptes_europaea	NA
Gekko_japonicus	NA
Hemicordylus_capensis	NA
Lacerta_agilis	NA
Pantherophis_guttatus	NA
Pantherophis_obsoletus	NA
Paroedura_picta	NA
Phrynosoma_platyrhinos	NA
Pituophis_catenifer	NA
Podarcis_muralis	NA
Podarcis_raffonei	NA
Pogona_vitticeps	NA
Protobothrops_mucrosquamatus	NA
Ptyas_mucosa	NA
Python_bivittatus	NA
Python_molurus	NA
Salvator_merianae	0.00039
Sceloporus_undulatus	NA
Sphaerodactylus_townsendi	NA
Sphenodon_punctatus	0.01157
Thamnophis_elegans	NA
Thamnophis_sirtalis	NA
Varanus_komodoensis	NA
Vipera_berus	NA
Zootoca_vivipara	0.02838
