Acanthisitta chloris
Accipiter gentilis
Alectoris rufa
Alectura lathami
Anas platyrhynchos
Anser brachyrhynchus
Anser cygnoides
Anser indicus
Anseranas semipalmata
Antrostomus carolinensis
Apaloderma vittatum
Aptenodytes forsteri
Apteryx mantelli mantelli
Apteryx rowi
Apus apus
Aquila chrysaetos
Asarcornis scutulata
Athene cunicularia
Aythya fuligula
Balearica regulorum 
Bambusicola thoracicus
Branta canadensis
Buceros rhinoceros
Buteo japonicus
Cairina moschata
Calidris pugnax
Callipepla squamata
Calypte anna
Camarhynchus parvulus
Caprimulgus carolinensis
Cariama cristata
Casuarius casuarius
Centrocercus minimus
Centrocercus urophasianus
Chaetura pelagica
Charadrius vociferus
Chauna torquata
Chloebia gouldiae
Chrysolophus pictus
Cnemophilus loriae
Colinus virginianus
Colius striatus
Coloeus monedula
Columba livia
Corvus brachyrhynchos
Corvus moneduloides
Corythaeola cristata
Coturnix japonica
Cuculus canorus
Cygnus atratus
Cygnus olor
Dromaius novaehollandiae
Dryobates pubescens
Egretta garzetta
Eurypyga helias
Falco biarmicus
Falco cherrug
Falco naumanni
Falco peregrinus
Falco rusticolus
Falco tinnunculus
Ficedula albicollis
Fulmarus glacialis
Gallus gallus
Gavia stellata
Geospiza fortis
Grus americana
Gymnogyps californianus
Haliaeetus albicilla
Haliaeetus leucocephalus
Harpia harpyja
Heteronetta atricapilla
Lagopus leucura
Lagopus muta
Leptosomus discolor
Lonchura striata domestica
Lyrurus tetrix
Malurus cyaneus
Manacus vitellinus
Meleagris gallopavo
Melopsittacus undulatus
Merops nubicus
Mesitornis unicolor
Nestor notabilis
Nettapus auritus
Nipponia nippon
Nothoprocta perdicaria
Numida meleagris
Odontophorus gujanensis
Onychostruthus taczanowskii
Opisthocomus hoazin
Oriolus oriolus
Oxyura jamaicensis
Parus major
Passer domesticus
Pavo cristatus
Pavo muticus
Pelecanus crispus
Penelope pileata
Phaethon lepturus
Phalacrocorax carbo
Phasianus colchicus
Pterocles gutturalis
Pygoscelis adeliae
Rhea americana
Rhynochetos jubatus
Rissa tridactyla
Serinus canaria
Spheniscus demersus
Stachyridopsis ruficeps
Stictonetta naevosa
Strigops habroptila
Struthio camelus
Sturnus vulgaris
Syrmaticus mikado
Taeniopygia guttata
Tauraco erythrolophus
Tinamus guttatus
Tympanuchus cupido
Tyto alba
Zonotrichia albicollis
